Type,Date,Bill Number,Discount,Subtotal,Delivery Amt,Total Bill,Channel,Customer ID,Dish Details
Home Delivery,2018-06-01,20083931000,0,480,20,500,-,38271357206,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Hyderabadi Mutton Dum Biryani (QTY-1.000),Mutton Bhuna (QTY-1.000)"
Dine In,2018-06-01,20083931328,0,450,0,450,-,UnKnown,"Tomato Soup (QTY-1.000),Masala Cheese Maggi (QTY-1.000),Cheese Chutney Half (QTY-1.000),Bhel (QTY-1.000),Hot Coffee (QTY-1.000),Hot Coffee (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000),Cold Drink (QTY-1.000),Cold Drink (QTY-1.000),Cold Drink s (QTY-1.000),Cold Drink s (QTY-1.000),Cold Drink s (QTY-1.000)"
Home Delivery,2018-06-01,20083931656,0,150,0,150,Zomato Online,249028087096,"Lachchha Paratha (QTY-1.000),Chicken Nilgir (QTY-1.000)"
Home Delivery,2018-06-01,20083931984,0,160,0,160,Zomato Online,249225356278,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-01,20083932312,0,160,0,160,Zomato Online,249229152321,Hyderabadi Mutton Dum Biryani (QTY-1.000)
Home Delivery,2018-06-01,20083932640,0,140,10,150,-,231587765414,Chicken Chettinad (QTY-1.000)
Dine In,2018-06-01,20083932968,0,740,0,740,-,UnKnown,"Chicken Tikka (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Chicken Home Style (QTY-1.000),Chicken Home Style (QTY-1.000)"
Home Delivery,2018-06-01,20083933296,0,240,0,240,Zomato Online,249229190637,Chole Bathure (QTY-3.000)
Dine In,2018-06-01,20083933624,0,530,0,530,-,UnKnown,"Hyderabadi Mutton Dum Biryani (QTY-1.000),Hyderabadi Mutton Dum Biryani (QTY-1.000),Plain Rice (QTY-1.000),Fish Curry (QTY-1.000)"
Dine In,2018-06-01,20083933952,0,736,0,736,-,UnKnown,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Hyderabadi Mutton Dum Biryani (QTY-1.000),Chicken Handi (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000)"
Home Delivery,2018-06-01,20083934280,0,160,0,160,Zomato Online,69425463848,"Lachchha Paratha (QTY-2.000),Chicken Curry (QTY-1.000)"
Home Delivery,2018-06-01,20083934608,0,160,0,160,Zomato Online,249229174207,Hyderabadi Mutton Dum Biryani (QTY-1.000)
Dine In,2018-06-01,20083934936,0,190,0,190,-,UnKnown,"Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Sev Tamater (QTY-1.000)"
Home Delivery,2018-06-01,20083935264,0,335,0,335,Zomato COD,248949293714,"Tandoori Roti Butter (QTY-2.000),Lachchha Paratha (QTY-3.000),Butter nan (QTY-1.000),Chicken Home Style (QTY-1.000)"
Take Away,2018-06-01,20083935592,0,150,10,160,-,38271357206,Mutton Curry (QTY-1.000)
Home Delivery,2018-06-01,20083935920,0,220,20,240,-,297461909752,"Veg Noodles (QTY-1.000),Chicken Curry (QTY-1.000)"
Dine In,2018-06-01,20083936248,0,350,0,350,-,UnKnown,"Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Dhaniya Chicken (QTY-1.000)"
Home Delivery,2018-06-01,20083936576,0,290,0,290,Zomato Online,245837713261,Tandoori Chicken (QTY-1.000)
Take Away,2018-06-01,20083936904,0,170,0,170,-,UnKnown,"Lachchha Paratha (QTY-1.000),Lachchha Paratha (QTY-1.000),Chicken Palak (QTY-1.000)"
Dine In,2018-06-01,20083937232,0,196,0,196,-,UnKnown,"Chicken Manchurian (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000)"
Home Delivery,2018-06-01,20083937560,0,160,0,160,Zomato Online,307549806093,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-01,20083937888,0,190,0,190,Zomato Online,35326927730,Chicken Garlic Tikka (QTY-1.000)
Home Delivery,2018-06-01,20083938216,0,150,0,150,Zomato COD,247993690628,Butter maggi (QTY-3.000)
Home Delivery,2018-06-01,20083938544,0,300,10,310,-,306686823939,Mutton Curry (QTY-1.000)
Home Delivery,2018-06-01,20083938872,0,190,0,190,Zomato COD,248949292164,Tandoori Chicken Afgani (QTY-1.000)
Home Delivery,2018-06-01,20083939200,0,160,0,160,Zomato Online,69425465491,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-01,20083939528,0,300,0,300,Zomato Online,300449762819,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-01,20083939856,0,160,0,160,Zomato Online,256355146873,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-01,20083940184,0,160,0,160,Zomato Online,249229207563,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-01,20083940512,100.01,179.99,10,190,-,279309402471,"Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Kadhai Paneer (QTY-1.000)"
Home Delivery,2018-06-01,20083940840,0,220,0,220,Zomato COD,245837713199,Chicken Home Style (QTY-1.000)
Home Delivery,2018-06-01,20083941168,0,160,0,160,-,248949292164,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-01,20083941496,0,695,0,695,Zomato COD,69427931448,"Tandoori Roti Butter (QTY-3.000),Hyderabadi Mutton Dum Biryani (QTY-1.000),Chicken Nilgir (QTY-1.000),Chicken Home Style (QTY-1.000)"
Home Delivery,2018-06-01,20083941824,0,204,0,204,Zomato COD,69419339395,"Tandoori Roti (QTY-2.000),Butter Chicken (QTY-1.000)"
Dine In,2018-06-01,20083942152,0,190,0,190,-,UnKnown,Chicken Amritsari Tikka (QTY-1.000)
Dine In,2018-06-01,20083942480,0,250,0,250,-,UnKnown,"Fried Rice (QTY-1.000),Chicken masala (QTY-1.000)"
Home Delivery,2018-06-01,20083942808,0,160,0,160,Zomato COD,249028101790,"Chicken Amritsari Tikka (QTY-1.000),Omlette (QTY-1.000)"
